Directory Name	Species	Common name	Other species names	Species Taxonomy ID	Taxonomic Lineage	Assembly name	NCBI accession	Source of assembly	NCBI assembly name	NCBI assembly status	Assembly submission date	Assembly submitter organization	contig N50 (bp)	scaffold N50 (bp)	No. ancestral genes with intact ORF	No. ancestral genes with inactivating mutations	No. ancestral genes with missing sequences
Artibeus_intermedius__common_fruit-eating_bat__HLartInt1A__GCA_038363145.1	Artibeus intermedius	common fruit-eating bat	Artibeus lituratus intermedius	51014	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Phyllostomidae; Stenodermatinae; Artibeus	HLartInt1A	GCA_038363145.1	NCBI	mArtInt1.hap1	Chromosome	2024-04-22	Bat1K Project	60026580	160430197	14779	402	15
Artibeus_intermedius__common_fruit-eating_bat__HLartInt1B__GCA_038363225.1	Artibeus intermedius	common fruit-eating bat	Artibeus lituratus intermedius	51014	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Phyllostomidae; Stenodermatinae; Artibeus	HLartInt1B	GCA_038363225.1	NCBI	mArtInt1.hap2	Chromosome	2024-04-22	Bat1K Project	74638333	167574344	14121	408	667
Centurio_senex__Wrinkle-faced_bat__HLcenSen1A__GCA_058972505.1	Centurio senex	Wrinkle-faced bat		27644	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Phyllostomidae; Stenodermatinae; Centurio	HLcenSen1A	GCA_058972505.1	Bat1K 21 Families project; Morales et al. Nature 2026			2024-08-21		44369972	152395564	14810	369	17
Dermanura_phaeotis__Dwarf_fruit-eating_bat__HLderPhae1A__GCA_051107565.1	Dermanura phaeotis	Dwarf fruit-eating bat	Artibeus phaeotis,pygmy fruit-eating bat	40229	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Phyllostomidae; Stenodermatinae; Dermanura	HLderPhae1A	GCA_051107565.1	NCBI	mDerPha1.hap1	Chromosome	2025-06-26	Bat1K Project	57954836	154617452	14829	349	18
Dermanura_phaeotis__Dwarf_fruit-eating_bat__HLderPhae1B__GCA_051107595.1	Dermanura phaeotis	Dwarf fruit-eating bat	pygmy fruit-eating bat,Artibeus phaeotis	40229	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Phyllostomidae; Stenodermatinae; Dermanura	HLderPhae1B	GCA_051107595.1	NCBI	mDerPha1.hap2	Chromosome	2025-06-26	Bat1K Project	101513163	156917333	14130	385	681
Ectophylla_alba__Honduran_white_bat__HLectAlb1A__GCA_985607515.1	Ectophylla alba	Honduran white bat		148036	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Phyllostomidae; Stenodermatinae; Ectophylla	HLectAlb1A	GCA_985607515.1	Bat1K 21 Families project; Morales et al. Nature 2026			2022-12-21		35032423	151691930	14781	398	17
Platyrrhinus_helleri__Hellers_broad-nosed_bat__HLplaHell1A__GCA_051107505.1	Platyrrhinus helleri	Hellers broad-nosed bat	Vampyrops helleri	27658	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Phyllostomidae; Stenodermatinae; Platyrrhinus	HLplaHell1A	GCA_051107505.1	NCBI	mPlaHel1.hap1	Chromosome	2025-06-26	Bat1K Project	49393690	159727393	14839	343	14
Platyrrhinus_helleri__Hellers_broad-nosed_bat__HLplaHell1B__GCA_051107545.1	Platyrrhinus helleri	Hellers broad-nosed bat	Vampyrops helleri	27658	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Phyllostomidae; Stenodermatinae; Platyrrhinus	HLplaHell1B	GCA_051107545.1	NCBI	mPlaHel1.hap2	Chromosome	2025-06-26	Bat1K Project	47571643	157586635	14140	377	679
Platyrrhinus_guianensis__Guianan_broad-nosed_bat__HLplaGui1A__GCA_985607425.1	Platyrrhinus guianensis	Guianan broad-nosed bat		1505192	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Phyllostomidae; Stenodermatinae; Platyrrhinus	HLplaGui1A	GCA_985607425.1	Bat1K 21 Families project; Morales et al. Nature 2026			2023-11-01		59399000	153352154	14858	323	15
Sturnira_hondurensis__Honduras_yellow-shouldered_bat__HLstuHon1__GCA_014824575.1	Sturnira hondurensis	Honduras yellow-shouldered bat		192404	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Phyllostomidae; Stenodermatinae; Sturnira	HLstuHon1	GCA_014824575.1	NCBI	WHU_Shon_v2	Scaffold	2020-09-30	College of Life Sciences at Wuhan University	2136421	10164808	14214	463	519
Sturnira_parvidens__Northern_Yellow-shouldered_Bat__HLstuParv1A__GCA_054855685.1	Sturnira parvidens	Northern Yellow-shouldered Bat	Sturnira lilium parvidens	196700	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Phyllostomidae; Stenodermatinae; Sturnira	HLstuParv1A	GCA_054855685.1	NCBI	mStuPar1.hap1	Chromosome	2026-01-30	Bat1K Project	48411880	149586925	14852	327	17
Sturnira_parvidens__Northern_Yellow-shouldered_Bat__HLstuParv1B__GCA_054855695.1	Sturnira parvidens	Northern Yellow-shouldered Bat	Sturnira lilium parvidens	196700	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Phyllostomidae; Stenodermatinae; Sturnira	HLstuParv1B	GCA_054855695.1	NCBI	mStuPar1.hap2	Chromosome	2026-01-30	Bat1K Project	50527669	157872161	14105	378	713
Uroderma_convexum__Pacific_Tent-making_Bat__HLuroBil1__GCA_985613525.1	Uroderma convexum	Pacific Tent-making Bat		2683985	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Phyllostomidae; Stenodermatinae; Uroderma	HLuroBil1	GCA_985613525.1	Bat1K 21 Families project; Morales et al. Nature 2026			2021-11-30		35087339	134648713	14697	461	38
Vampyressa_thyone__northern_little_yellow-eared_bat__HLvamThy1A__GCA_985607325.1	Vampyressa thyone	northern little yellow-eared bat		362826	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Phyllostomidae; Stenodermatinae; Vampyressa	HLvamThy1A	GCA_985607325.1	Bat1K 21 Families project; Morales et al. Nature 2026			2024-04-11		50268000	171624621	14860	322	14
Thyroptera_tricolor__Spixs_disk-winged_bat__HLthyTri1__GCA_985616965.1	Thyroptera tricolor	Spixs disk-winged bat		124759	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Thyropteridae; Thyroptera	HLthyTri1	GCA_985616965.1	Bat1K 21 Families project; Morales et al. Nature 2026			2021-04-16		81080865	174789141	14690	439	67
Antrozous_pallidus__pallid_bat__HLantPal2__GCA_027563665.1	Antrozous pallidus	pallid bat		9440	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Antrozous	HLantPal2	GCA_027563665.1	NCBI, Bat1K			2021-09-10		41887785	114648712	14446	711	39
Barbastella_leucomelas__Eastern_barbastelle__HLbarLeu1	Barbastella leucomelas	Eastern barbastelle	Vespertilio leucomelas	187009	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Barbastella	HLbarLeu1	Sciencedb https://doi.org/10.57760/sciencedb.11285	Sciencedb https://doi.org/10.57760/sciencedb.11285			2024-12-25		48556	11789137	12377	959	1860
Cnephaeus_nilssonii__Northern_bat__HLeptNil3__GCA_951640355.1	Cnephaeus nilssonii	Northern bat	Eptesicus nilssoni,Vespertilio nilssonii,Eptesicus nilsonii	59451	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Cnephaeus	HLeptNil3	GCA_951640355.1	NCBI			2024-07-03		2474537	98018206	14757	356	83
Corynorhinus_rafinesquii__Rafinesques_big-eared_bat__HLcorRaf1	Corynorhinus rafinesquii	Rafinesques big-eared bat	Plecotus rafinesquii	27674	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Corynorhinus	HLcorRaf1	DNA Zoo Consortium	DNA Zoo Consortium			2022-02-28		35099	144810274	12976	745	1475
Corynorhinus_townsendii__Townsends_big-eared_bat__HLcorTow1A__GCA_026230055.1	Corynorhinus townsendii	Townsends big-eared bat	Plecotus townsendii	124745	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Corynorhinus	HLcorTow1A	GCA_026230055.1	NCBI	mCorTow1.0.hap1	Scaffold	2022-11-18	UCLA	23382908	174690156	14802	371	23
Corynorhinus_townsendii__Townsends_big-eared_bat__HLcorTow1B__GCA_026230045.1	Corynorhinus townsendii	Townsends big-eared bat	Plecotus townsendii	124745	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Corynorhinus	HLcorTow1B	GCA_026230045.1	NCBI	mCorTow1.0.hap2	Scaffold	2022-11-18	UCLA	22150609	177756282	14307	374	515
Corynorhinus_townsendii__Townsends_big-eared_bat__HLcorTown2A__GCA_026230055.2	Corynorhinus townsendii	Townsends big-eared bat	Plecotus townsendii	124745	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Corynorhinus	HLcorTown2A	GCA_026230055.2	NCBI	mCorTow1.1.hap1	Chromosome	2025-12-17	UCLA	23451255	174690256	14842	330	24
Corynorhinus_mexicanus__Mexican_big-eared_bat__HLcorMex1__GCA_985613265.1	Corynorhinus mexicanus	Mexican big-eared bat	Plecotus mexicanus	712049	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Corynorhinus	HLcorMex1	GCA_985613265.1	Bat1K 21 Families project; Morales et al. Nature 2026			2024-02-09		6443000	163033761	14841	303	52
Eptesicus_fuscus__big_brown_bat__HLeptFus3__GCF_027574615.1	Eptesicus fuscus	big brown bat	Vespertilio fuscus	29078	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Eptesicus	HLeptFus3	GCF_027574615.1	NCBI	DD_ASM_mEF_20220401	Chromosome	2023-01-09	Bat1K	49033427	102817582	14919	267	10
Harpiocephalus_harpia__hairy-winged_bat__HLharHar1	Harpiocephalus harpia	hairy-winged bat	Vespertilio harpia	124749	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Harpiocephalus	HLharHar1	Sciencedb https://doi.org/10.57760/sciencedb.11285	Sciencedb https://doi.org/10.57760/sciencedb.11285			2024-12-26		36067	8501880	11632	1233	2331
Ia_io__Great_evening_bat__HLiaxIox1__GCA_025583905.1	Ia io	Great evening bat		360967	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Ia	HLiaxIox1	GCA_025583905.1	NCBI	NENU_Iio_1.0	Scaffold	2022-10-05	Northeast Normal University	62415887	105833403	13590	1592	14
Ia_io__Great_evening_bat__HLiaxIox2A__GCA_054824925.1	Ia io	Great evening bat		360967	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Ia	HLiaxIox2A	GCA_054824925.1	NCBI	mIaxIox2.hap1	Chromosome	2026-01-29	Bat1K Project	22958249	100437821	14686	448	62
Kerivoula_hardwickii__Hardwickes_woolly_bat__HLkerHar1	Kerivoula hardwickii	Hardwickes woolly bat	Vespertilio hardwickii	155035	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Kerivoula	HLkerHar1	Sciencedb https://doi.org/10.57760/sciencedb.11285	Sciencedb https://doi.org/10.57760/sciencedb.11285			2024-12-25		50497	2880418	11443	1396	2357
Lasiurus_cinereus__hoary_bat__HLaeoCin1__GCA_011751065.1	Lasiurus cinereus	hoary bat	North American hoary bat,Lasiurus cinereus	257879	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Lasiurus	HLaeoCin1	GCA_011751065.1	NCBI	L.cinereus_Cryan_1219_p1.0	Scaffold	2020-03-25	United States Geological Survey	120638	35075546	13648	813	735
Lasiurus_borealis__red_bat__HLlasBor1__GCA_004026805.1	Lasiurus borealis	red bat		258930	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Lasiurus	HLlasBor1	GCA_004026805.1	NCBI	LasBor_v1_BIUU	Scaffold	2019-01-16	Broad Institute	35165	38543	10549	1719	2928
Lasiurus_ega__Southern_yellow_bat__HLlasEga1A__GCA_058971415.1	Lasiurus ega	Southern yellow bat	Dasypterus ega,Nycticejus ega	258928	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Lasiurus	HLlasEga1A	GCA_058971415.1	Bat1K 21 Families project; Morales et al. Nature 2026			2024-09-01		48423497	134088245	14647	494	55
Murina_feae__Little_tube-nosed_bat__HLmurAurFea1__GCA_004026665.1	Murina feae	Little tube-nosed bat	Murina aurata feae	1453894	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Murina	HLmurAurFea1	GCA_004026665.1	NCBI	MurFea_v1_BIUU	Scaffold	2019-01-16	Broad Institute	23400	26051	12647	839	1710
Murina_hilgendorfi__Hilgendorfs_tube-nosed_bat__HLmurHil1	Murina hilgendorfi	Hilgendorfs tube-nosed bat	Harpiocephalus hilgendorfi	685731	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Murina	HLmurHil1	Sciencedb https://doi.org/10.57760/sciencedb.11285	Sciencedb https://doi.org/10.57760/sciencedb.11285			2024-12-25		62308	100625229	13275	716	1205
Myotis_daubentonii__Daubentons_bat__HLmyoDau2__GCF_963259705.1	Myotis daubentonii	Daubentons bat	Myotis daubentoni,Wasserfledermaus,Vespertilio daubentonii	98922	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis	HLmyoDau2	GCF_963259705.1	NCBI	mMyoDau2.1	Chromosome	2023-08-20	WELLCOME SANGER INSTITUTE	3062752	102234773	14841	310	45
Myotis_daubentonii__Daubentons_bat__HLmyoDaub3A__GCA_963259705.2	Myotis daubentonii	Daubentons bat	Wasserfledermaus,Myotis daubentoni,Vespertilio daubentonii	98922	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis	HLmyoDaub3A	GCA_963259705.2	NCBI	mMyoDau2.hap1.2	Chromosome	2025-04-09	WELLCOME SANGER INSTITUTE	28718153	101535203	14908	270	18
Myotis_emarginatus__Geoffroys_bat__HLmyoEma1A__GCA_965115925.1	Myotis emarginatus	Geoffroys bat	Vespertilio emarginatus	109480	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis	HLmyoEma1A	GCA_965115925.1	NCBI	mMyoEma1.hap1.1	Chromosome	2025-01-24	WELLCOME SANGER INSTITUTE	2127843	96276321	14698	392	106
Myotis_emarginatus__Geoffroys_bat__HLmyoEma1B__GCA_965115945.1	Myotis emarginatus	Geoffroys bat	Vespertilio emarginatus	109480	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis	HLmyoEma1B	GCA_965115945.1	NCBI	mMyoEma1.hap2.1	Scaffold	2025-01-24	WELLCOME SANGER INSTITUTE	2102766	96450164	14192	662	342
Myotis_emarginatus__Geoffroys_bat__HLmyoEmar2A__GCA_965115925.2	Myotis emarginatus	Geoffroys bat	Vespertilio emarginatus	109480	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis	HLmyoEmar2A	GCA_965115925.2	NCBI	mMyoEma1.hap1.2	Chromosome	2025-04-14	WELLCOME SANGER INSTITUTE	48680186	99609134	14814	347	35
Myotis_findleyi__Findleys_myotis__HLmyoFin1__GCA_038630795.1	Myotis findleyi	Findleys myotis		3085897	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis	HLmyoFin1	GCA_038630795.1	NCBI	ASM3863079v1	Scaffold	2024-04-29	INSTITUTO POLITECNICO NACIONAL	60830	92497854	13268	849	1079
Myotis_lucifugus__little_brown_bat__HLmyoLuc1	Myotis lucifugus	little brown bat		59463	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis	HLmyoLuc1	DNA Zoo Consortium	DNA Zoo Consortium			2020-07-12		61531	95464383	11072	2836	1288
Myotis_myotis__greater_mouse-eared_bat__HLmyoMyo6__GCA_014108235.1	Myotis myotis	greater mouse-eared bat		51298	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis	HLmyoMyo6	GCA_014108235.1	NCBI, Bat1K			2019-04-16		11795106	94448911	14837	323	36
Myotis_mystacinus__Whiskered_bat__HLmyoMys2A__GCA_964094495.2	Myotis mystacinus	Whiskered bat	Vespertilio mystacinus	109479	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis	HLmyoMys2A	GCA_964094495.2	NCBI	mMyoMys1.hap1.1	Chromosome	2024-06-12	WELLCOME SANGER INSTITUTE	2201046	99827109	14856	269	71
Myotis_mystacinus__Whiskered_bat__HLmyoMys2B__GCA_964195625.1	Myotis mystacinus	Whiskered bat	Vespertilio mystacinus	109479	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis	HLmyoMys2B	GCA_964195625.1	NCBI	mMyoMys1.hap2.1	Chromosome	2024-06-30	WELLCOME SANGER INSTITUTE	2254345	98765083	14344	286	566
Myotis_mystacinus__Whiskered_bat__HLmyoMyst3A__GCA_964094495.3	Myotis mystacinus	Whiskered bat	Vespertilio mystacinus	109479	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis	HLmyoMyst3A	GCA_964094495.3	NCBI	mMyoMys1.hap1.2	Chromosome	2025-10-26	WELLCOME SANGER INSTITUTE	28343623	100246715	14919	249	28
Myotis_nattereri__Natterers_bat__HLmyoNat1A__GCA_964212035.1	Myotis nattereri	Natterers bat	Myotis nattererii,Vespertilio nattereri,Myotis naterreri	109481	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis	HLmyoNat1A	GCA_964212035.1	NCBI	mMyoNat1.hap1.1	Chromosome	2024-08-02	WELLCOME SANGER INSTITUTE	2065327	101144875	14842	280	74
Myotis_nattereri__Natterers_bat__HLmyoNat1B__GCA_964212025.1	Myotis nattereri	Natterers bat	Vespertilio nattereri,Myotis nattererii,Myotis naterreri	109481	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis	HLmyoNat1B	GCA_964212025.1	NCBI	mMyoNat1.hap2.1	Scaffold	2024-08-02	WELLCOME SANGER INSTITUTE	2100158	97795217	14305	308	583
Myotis_nattereri__Natterers_bat__HLmyoNatt2A__GCA_964212035.2	Myotis nattereri	Natterers bat	Myotis nattererii,Myotis naterreri,Vespertilio nattereri	109481	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis	HLmyoNatt2A	GCA_964212035.2	NCBI	mMyoNat1.hap1.2	Chromosome	2025-03-28	WELLCOME SANGER INSTITUTE	44226636	99996439	14931	252	13
Myotis_nattereri__Natterers_bat__HLmyoNatt2B__GCA_964212025.2	Myotis nattereri	Natterers bat	Vespertilio nattereri,Myotis nattererii,Myotis naterreri	109481	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis	HLmyoNatt2B	GCA_964212025.2	NCBI	mMyoNat1.hap2.2	Scaffold	2025-03-28	WELLCOME SANGER INSTITUTE	47439000	99187516	14362	298	536
Myotis_nesopolus__Cucacao_Myotis__HLmyoNeso1A__GCA_054855985.1	Myotis nesopolus	Cucacao Myotis		1163727	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis	HLmyoNeso1A	GCA_054855985.1	NCBI	mMyoNes1.hap1	Chromosome	2026-01-30	Bat1K Project	49124421	105520506	14801	366	29
Myotis_planiceps__flat-headed_Myotis__HLmyoPla1__GCA_036250175.1	Myotis planiceps	flat-headed Myotis		1209081	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis	HLmyoPla1	GCA_036250175.1	NCBI	ASM3625017v1	Scaffold	2024-01-29	INSTITUTO POLITECNICO NACIONAL	13500	83203680	6350	3065	5781
Myotis_pilosus__Ricketts_big-footed_Myotis__HLmyoRic2__GCA_036010255.1	Myotis pilosus	Ricketts big-footed Myotis	Myotis pilosus	203696	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis	HLmyoRic2	GCA_036010255.1	NCBI	ASM3601025v1	Contig	2024-01-23	Chinese Academy of Sciences	79957542	79957542	14934	250	12
Myotis_septentrionalis__Northern_long-eared_myotis__HLmyoSep1	Myotis septentrionalis	Northern long-eared myotis		258941	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis	HLmyoSep1	DNA Zoo Consortium	DNA Zoo Consortium			2020-06-20		205441	96689946	13494	1263	439
Myotis_vivesi__fish-eating_bat__HLmyoViv1__GCA_035771395.1	Myotis vivesi	fish-eating bat		233766	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis	HLmyoViv1	GCA_035771395.1	NCBI	ASM3577139v1	Scaffold	2024-01-17	INSTITUTO POLITECNICO NACIONAL	68740	91830945	13983	475	738
Myotis_yumanensis__Yuma_myotis__HLmyoYum1A__GCA_028536395.1	Myotis yumanensis	Yuma myotis	Vespertilio yumanensis	159337	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis	HLmyoYum1A	GCA_028536395.1	NCBI	mMyoYum1.0.hap2	Scaffold	2023-02-07	UCLA	26795370	94205551	14656	519	21
Myotis_yumanensis__Yuma_myotis__HLmyoYum1B__GCA_028538775.1	Myotis yumanensis	Yuma myotis	Vespertilio yumanensis	159337	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis	HLmyoYum1B	GCA_028538775.1	NCBI	mMyoYum1.0.hap1	Scaffold	2023-02-10	UCLA	28025655	99144700	14131	552	513
Myotis_brandtii__Brandts_myotis_bat__myoBra1__GCF_000412655.1	Myotis brandtii	Brandts myotis bat		109478	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis	myoBra1	GCF_000412655.1	NCBI	ASM41265v1	Scaffold	2013-06-28	BGI	23289	3225832	12083	1649	1464
Myotis_davidii__Davids_myotis_bat__myoDav1__GCF_000327345.1	Myotis davidii	Davids myotis bat		225400	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis	myoDav1	GCF_000327345.1	NCBI	ASM32734v1	Scaffold	2012-12-20	BGI	15182	3454484	11186	2210	1800
Myotis_chinensis__large_myotis__HLmyoChi1	Myotis chinensis	large myotis	Vespertilio chinensis	225399	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis	HLmyoChi1	Sciencedb https://doi.org/10.57760/sciencedb.11285	Sciencedb https://doi.org/10.57760/sciencedb.11285			2024-12-26		31755	91380839	11749	1095	2352
Myotis_tricolor__Cape_hairy_bat__HLmyoTric2A__GCA_054824995.1	Myotis tricolor	Cape hairy bat	Vespertilio tricolor	233765	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis	HLmyoTric2A	GCA_054824995.1	NCBI	mMyoTri1.hap1	Chromosome	2026-01-29	Bat1K Project	59717690	101392957	14885	280	31
Myotis_nigricans__black_myotis__HLmyoNig1	Myotis nigricans	black myotis		153286	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis	HLmyoNig1	Bat1K	Bat1K			2021-09-10		59753591	109149422	14804	374	18
Myotis_pilosus__Ricketts_big-footed_Myotis__HLmyoPil1	Myotis pilosus	Ricketts big-footed Myotis	Myotis ricketti	203696	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis	HLmyoPil1	JBQVXG000000000	provided by Huabin Zhao; https://sciety.org/articles/activity/10.21203/rs.3.rs-7561642/v1			2024-04-15		41290618	107200660	14453	732	11
Myotis_auriculus__Southwestern_myotis__HLmyoAui1__GCA_056320785.1	Myotis auriculus	Southwestern myotis	Myotis evotis auriculus	321263	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis	HLmyoAui1	GCA_056320785.1	Manny and Elise for 21Fam			2024-08-24		80406180	99473469	14935	247	14
Myotis_californicus__California_Myotis__HLmyoCal2__GCA_056320955.1	Myotis californicus	California Myotis	Vespertilio californicus	257882	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis	HLmyoCal2	GCA_056320955.1	Manny and Elise for 21Fam			2024-08-21		94581416	101286765	14941	237	18
Myotis_evotis__long-eared_Myotis__HLmyoEvo1__GCA_056320405.1	Myotis evotis	long-eared Myotis	Vespertilio evotis	257883	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis	HLmyoEvo1	GCA_056320405.1	Manny and Elise for 21Fam			2024-09-10		100887357	100887357	14938	246	12
Myotis_occultus__Arizona_Myotis__HLmyoOcc1__GCA_056320795.1	Myotis occultus	Arizona Myotis		2497118	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis	HLmyoOcc1	GCA_056320795.1	Manny and Elise for 21Fam			2024-08-24		88523079	98960009	14928	252	16
